image,pins,outputs
0.npy,"[(77, 33), (25, 95), (34, 9), (64, 49), (40, 55), (18, 29), (69, 12), (96, 1), (87, 14), (29, 50), (1, 34), (61, 76), (14, 39), (34, 72), (69, 57), (40, 34), (1, 91), (34, 16), (41, 24), (41, 2), (82, 90), (56, 96), (77, 60), (56, 45), (88, 76), (82, 44), (43, 8), (64, 96), (88, 37), (32, 24), (22, 45), (95, 96), (76, 22), (43, 29), (80, 83), (31, 3), (58, 33), (63, 12), (23, 48), (19, 52), (68, 83), (31, 66), (13, 1), (31, 36), (38, 9), (48, 88), (6, 86), (46, 55), (39, 65), (31, 99), (58, 36), (82, 90), (59, 42), (50, 21), (24, 22), (68, 27), (64, 10), (37, 2), (99, 30), (81, 44), (54, 17), (74, 9), (73, 41), (81, 44), (99, 26), (65, 4), (58, 44), (38, 13), (4, 77), (92, 93), (81, 85), (16, 64), (41, 29), (42, 55), (39, 18), (35, 12), (65, 43), (71, 77), (43, 17), (64, 38), (32, 50), (27, 44), (68, 31), (19, 94), (37, 13), (77, 46), (22, 17), (62, 61), (33, 21), (12, 13), (8, 60), (41, 0), (81, 53), (57, 2), (32, 98), (64, 3), (56, 79), (91, 24), (38, 12), (77, 35)]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 1, 2, 0, 0, 0, 2, 0, 1, 0, 2, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1]"
1.npy,"[(1, 59), (96, 84), (54, 15), (32, 25), (28, 38), (49, 31), (94, 64), (32, 91), (29, 0), (17, 95), (22, 14), (1, 28), (15, 85), (1, 27), (53, 17), (57, 78), (87, 77), (34, 15), (70, 28), (73, 51), (82, 43), (89, 2), (77, 78), (53, 83), (32, 22), (27, 96), (97, 25), (94, 32), (30, 76), (21, 92), (59, 15), (46, 65), (68, 17), (19, 26), (91, 20), (46, 38), (81, 23), (90, 59), (71, 35), (69, 1), (74, 87), (37, 71), (77, 20), (48, 71), (73, 10), (89, 96), (25, 70), (57, 65), (36, 64), (98, 71), (93, 0), (95, 64), (61, 58), (82, 95), (26, 81), (95, 78), (20, 72), (71, 11), (21, 40), (65, 10), (62, 3), (69, 93), (65, 90), (49, 84), (77, 53), (40, 34), (68, 53), (80, 8), (3, 53), (41, 85), (1, 72), (20, 70), (81, 21), (40, 10), (38, 94), (81, 72), (1, 61), (27, 91), (40, 7), (22, 77), (10, 12), (19, 42), (13, 24), (53, 25), (44, 6), (84, 59), (0, 63), (23, 86), (41, 91), (69, 0), (20, 11), (17, 59), (33, 38), (89, 62), (82, 41), (31, 69), (51, 52), (75, 29), (86, 98), (29, 61)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2.npy,"[(74, 30), (34, 26), (96, 77), (98, 21), (11, 22), (34, 95), (98, 20), (41, 78), (10, 83), (32, 92), (0, 42), (35, 17), (30, 12), (29, 70), (69, 27), (56, 99), (87, 62), (34, 65), (25, 12), (82, 15), (19, 98), (82, 99), (38, 89), (46, 39), (27, 10), (5, 89), (97, 27), (84, 49), (1, 2), (13, 90), (28, 33), (93, 36), (35, 60), (62, 3), (18, 30), (72, 76), (14, 45), (35, 99), (18, 66), (21, 38), (88, 89), (67, 52), (77, 29), (73, 23), (8, 34), (67, 5), (32, 67), (15, 9), (92, 47), (96, 56), (63, 70), (58, 83), (11, 10), (18, 49), (6, 2), (76, 12), (92, 53), (36, 66), (45, 8), (59, 9), (57, 25), (46, 82), (8, 80), (23, 32), (6, 98), (26, 15), (70, 54), (13, 30), (96, 87), (64, 10), (24, 42), (45, 94), (59, 60), (64, 82), (98, 92), (84, 79), (45, 40), (42, 21), (12, 22), (33, 71), (63, 39), (71, 69), (71, 72), (40, 90), (91, 3), (91, 40), (80, 11), (53, 89), (25, 55), (81, 44), (19, 47), (28, 68), (15, 74), (81, 37), (57, 50), (52, 46), (37, 4), (30, 36), (9, 96), (23, 81)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 1, 1, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]"
3.npy,"[(16, 73), (8, 10), (88, 51), (32, 7), (93, 5), (1, 41), (6, 27), (76, 5), (24, 80), (27, 40), (93, 87), (63, 25), (10, 53), (68, 14), (10, 26), (69, 42), (99, 79), (26, 84), (62, 41), (23, 66), (45, 90), (74, 71), (49, 55), (31, 39), (17, 59), (47, 12), (30, 25), (18, 68), (79, 80), (54, 45), (72, 16), (16, 69), (95, 64), (39, 17), (94, 51), (93, 39), (88, 21), (55, 60), (56, 69), (29, 12), (52, 7), (64, 89), (61, 95), (38, 61), (52, 51), (78, 9), (11, 71), (3, 39), (78, 22), (74, 77), (45, 33), (72, 15), (95, 11), (64, 26), (34, 85), (33, 32), (51, 21), (11, 93), (43, 3), (80, 66), (81, 30), (34, 58), (60, 0), (72, 64), (67, 86), (58, 16), (80, 3), (0, 33), (10, 91), (31, 81), (23, 45), (91, 71), (22, 33), (60, 11), (88, 51), (60, 12), (26, 8), (20, 61), (93, 63), (42, 77), (7, 53), (63, 59), (45, 73), (39, 47), (41, 76), (21, 4), (42, 86), (62, 75), (85, 81), (24, 55), (19, 26), (9, 11), (89, 74), (25, 44), (29, 65), (70, 85), (40, 94), (78, 18), (96, 49), (85, 66)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4.npy,"[(19, 81), (33, 87), (81, 20), (90, 6), (87, 75), (74, 35), (70, 6), (50, 86), (3, 48), (21, 31), (75, 27), (17, 53), (64, 62), (35, 4), (89, 87), (32, 30), (32, 43), (34, 46), (38, 2), (44, 87), (84, 17), (87, 39), (43, 18), (96, 77), (97, 24), (49, 50), (82, 85), (46, 48), (33, 39), (57, 22), (43, 26), (15, 39), (81, 80), (55, 81), (4, 68), (99, 14), (4, 47), (9, 68), (74, 18), (39, 75), (32, 42), (91, 53), (69, 31), (51, 98), (0, 78), (35, 4), (69, 56), (28, 61), (2, 12), (47, 56), (79, 59), (92, 49), (79, 31), (86, 98), (26, 88), (80, 16), (12, 94), (94, 36), (32, 38), (69, 54), (97, 39), (21, 15), (63, 13), (34, 46), (77, 63), (39, 33), (27, 9), (17, 64), (89, 13), (83, 16), (50, 23), (21, 72), (4, 54), (39, 57), (67, 92), (85, 55), (98, 91), (36, 95), (83, 86), (58, 7), (40, 39), (42, 57), (17, 37), (64, 45), (13, 69), (59, 55), (14, 72), (9, 5), (65, 61), (50, 56), (48, 13), (17, 41), (16, 61), (36, 25), (0, 86), (73, 69), (10, 69), (72, 38), (5, 18), (96, 73)]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5.npy,"[(3, 8), (1, 59), (18, 51), (59, 64), (92, 81), (27, 96), (86, 42), (48, 18), (90, 28), (29, 15), (49, 7), (98, 90), (94, 15), (77, 13), (34, 6), (55, 18), (30, 5), (98, 92), (69, 54), (35, 17), (88, 97), (70, 28), (60, 78), (23, 68), (30, 2), (32, 57), (53, 59), (3, 87), (49, 90), (27, 8), (78, 92), (98, 31), (56, 46), (34, 93), (66, 60), (37, 30), (86, 83), (30, 74), (97, 97), (5, 22), (1, 18), (35, 89), (52, 11), (34, 65), (25, 80), (56, 85), (57, 31), (53, 51), (1, 6), (3, 57), (22, 6), (72, 25), (83, 42), (27, 69), (5, 87), (31, 62), (2, 77), (62, 94), (79, 83), (41, 5), (40, 51), (96, 39), (78, 13), (39, 2), (71, 30), (44, 73), (87, 94), (38, 27), (91, 37), (79, 88), (54, 71), (36, 63), (1, 48), (57, 11), (58, 78), (93, 71), (53, 45), (92, 55), (57, 40), (56, 61), (86, 54), (37, 68), (53, 5), (89, 27), (74, 0), (22, 78), (31, 67), (26, 25), (40, 64), (18, 84), (44, 55), (70, 13), (6, 13), (37, 72), (99, 37), (9, 78), (3, 59), (53, 87), (19, 87), (37, 88)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
6.npy,"[(44, 78), (87, 70), (59, 43), (97, 34), (14, 70), (48, 82), (47, 71), (93, 37), (83, 24), (17, 3), (62, 19), (82, 67), (85, 14), (66, 96), (35, 23), (61, 8), (61, 71), (13, 40), (2, 62), (97, 79), (25, 73), (50, 83), (28, 97), (73, 3), (74, 83), (22, 76), (54, 70), (48, 6), (14, 48), (83, 93), (87, 79), (68, 96), (60, 19), (95, 33), (31, 16), (50, 2), (48, 17), (73, 12), (11, 53), (84, 0), (54, 79), (94, 0), (88, 14), (81, 84), (26, 0), (88, 2), (81, 69), (77, 42), (43, 32), (75, 94), (96, 62), (53, 23), (13, 8), (38, 86), (18, 35), (13, 91), (84, 38), (1, 17), (51, 40), (4, 11), (24, 46), (14, 2), (34, 17), (25, 45), (11, 28), (38, 36), (22, 6), (81, 28), (39, 8), (63, 1), (6, 26), (10, 13), (95, 22), (25, 44), (16, 73), (94, 82), (61, 44), (22, 22), (69, 7), (81, 29), (96, 58), (84, 17), (64, 56), (5, 68), (43, 88), (99, 65), (92, 38), (34, 80), (49, 16), (63, 57), (19, 31), (54, 72), (69, 44), (60, 92), (43, 34), (33, 93), (51, 6), (15, 39), (1, 24), (15, 67)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7.npy,"[(32, 50), (55, 33), (7, 94), (60, 61), (38, 8), (85, 21), (40, 1), (28, 29), (63, 98), (15, 34), (67, 52), (25, 87), (5, 33), (18, 2), (56, 45), (84, 9), (16, 6), (9, 26), (39, 96), (84, 10), (15, 40), (52, 87), (56, 18), (77, 65), (42, 87), (35, 41), (35, 20), (5, 66), (90, 90), (3, 22), (61, 5), (61, 47), (48, 11), (10, 17), (7, 18), (82, 57), (77, 47), (40, 41), (46, 63), (32, 25), (25, 41), (75, 2), (79, 7), (79, 38), (23, 60), (54, 27), (52, 75), (45, 21), (75, 54), (78, 5), (1, 93), (58, 69), (60, 44), (36, 35), (38, 19), (37, 12), (40, 50), (25, 36), (46, 7), (77, 34), (19, 92), (4, 43), (91, 59), (22, 88), (14, 37), (86, 87), (77, 78), (94, 75), (67, 77), (16, 47), (11, 3), (11, 65), (79, 82), (30, 49), (53, 5), (28, 58), (93, 5), (10, 87), (68, 69), (0, 71), (9, 59), (83, 64), (69, 3), (58, 90), (64, 38), (46, 20), (49, 36), (82, 99), (50, 10), (58, 63), (36, 66), (83, 12), (25, 96), (9, 21), (50, 72), (49, 70), (66, 94), (61, 20), (2, 24), (42, 59)]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 3, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 2, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
8.npy,"[(51, 23), (47, 11), (3, 74), (50, 34), (3, 76), (41, 22), (45, 68), (21, 6), (2, 30), (54, 96), (5, 24), (2, 82), (59, 9), (92, 18), (6, 77), (7, 19), (87, 31), (0, 39), (75, 26), (36, 68), (73, 25), (40, 56), (7, 59), (93, 51), (18, 2), (78, 42), (1, 87), (84, 14), (61, 25), (70, 28), (15, 36), (64, 95), (5, 21), (33, 20), (33, 92), (59, 90), (1, 55), (36, 87), (37, 66), (47, 6), (2, 31), (68, 3), (36, 14), (67, 88), (62, 43), (90, 99), (27, 98), (46, 77), (22, 17), (22, 16), (52, 25), (10, 94), (2, 88), (13, 7), (7, 11), (31, 65), (24, 6), (46, 71), (26, 57), (69, 26), (81, 82), (72, 77), (58, 76), (17, 31), (83, 2), (92, 31), (1, 73), (4, 22), (52, 34), (55, 52), (56, 85), (25, 16), (23, 57), (49, 76), (37, 50), (11, 26), (9, 77), (41, 62), (26, 71), (82, 27), (15, 70), (33, 80), (53, 83), (99, 17), (10, 28), (87, 48), (98, 71), (39, 28), (90, 86), (26, 1), (75, 98), (1, 74), (86, 81), (8, 33), (71, 65), (15, 71), (57, 86), (55, 94), (31, 14), (18, 53)]","[0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1]"
9.npy,"[(23, 44), (33, 64), (3, 72), (97, 36), (0, 92), (35, 22), (39, 66), (36, 46), (54, 98), (76, 51), (68, 38), (93, 64), (2, 32), (21, 46), (60, 74), (87, 75), (58, 3), (98, 92), (70, 4), (36, 43), (55, 90), (12, 40), (51, 91), (60, 56), (15, 19), (92, 85), (3, 28), (77, 89), (46, 5), (57, 26), (12, 46), (51, 93), (10, 42), (17, 88), (91, 58), (47, 9), (5, 48), (59, 72), (52, 23), (90, 90), (91, 26), (21, 19), (58, 35), (34, 89), (9, 27), (30, 86), (45, 64), (64, 27), (86, 36), (72, 91), (6, 40), (37, 50), (52, 13), (11, 81), (16, 64), (19, 86), (32, 70), (56, 6), (59, 86), (26, 53), (71, 5), (73, 31), (43, 59), (18, 3), (11, 3), (69, 91), (53, 22), (41, 27), (47, 88), (60, 45), (12, 94), (42, 29), (72, 68), (45, 34), (2, 1), (68, 80), (99, 7), (54, 82), (45, 25), (57, 58), (17, 92), (47, 41), (52, 2), (28, 2), (2, 71), (21, 32), (3, 80), (1, 75), (92, 67), (43, 80), (99, 55), (46, 87), (1, 67), (47, 75), (31, 93), (4, 29), (57, 16), (6, 45), (80, 26), (17, 77)]","[0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 3, 0, 1, 1, 1, 0, 0, 0, 1, 0, 2]"
