image,pins,outputs
0.png,"[(0, 0), (5, 0), (10, 0), (15, 0), (20, 0), (25, 0), (0, 5), (5, 5), (10, 5), (15, 5), (20, 5), (25, 5), (0, 10), (5, 10), (10, 10), (15, 10), (20, 10), (25, 10), (0, 15), (5, 15), (10, 15), (15, 15), (20, 15), (25, 15), (0, 20), (5, 20), (10, 20), (15, 20), (20, 20), (25, 20), (0, 25), (5, 25), (10, 25), (15, 25), (20, 25), (25, 25)]","[0, 0, 0, 0, 0, 0, 0, 2.1725490391254425, 2.368627481162548, 0, 5.450980454683304, 9.701960884034634, 0, 14.949019693769515, 23.262745276559144, 3.1803921945393085, 19.04705897346139, 14.686274658888578, 0, 20.145098173059523, 22.43137273704633, 20.086274713743478, 23.627451189793646, 2.670588292181492, 0, 13.254902131855488, 3.9176471238024533, 10.968627528753132, 9.788235368207097, 0, 0, 2.6352941542863846, 0.15294118225574493, 0, 0, 0]"
1.png,"[(0, 0), (5, 0), (10, 0), (15, 0), (20, 0), (25, 0), (0, 5), (5, 5), (10, 5), (15, 5), (20, 5), (25, 5), (0, 10), (5, 10), (10, 10), (15, 10), (20, 10), (25, 10), (0, 15), (5, 15), (10, 15), (15, 15), (20, 15), (25, 15), (0, 20), (5, 20), (10, 20), (15, 20), (20, 20), (25, 20), (0, 25), (5, 25), (10, 25), (15, 25), (20, 25), (25, 25)]","[0, 0, 0, 0, 0, 0, 0, 0, 2.0862745363265276, 12.26666678674519, 13.384313866496086, 2.4784314185380936, 0, 3.9803921915590763, 20.09803937934339, 15.878431493416429, 26.752941384911537, 10.905882440507412, 0, 22.97254914045334, 20.678431507200003, 2.576470647007227, 17.439215945079923, 3.168627515435219, 0, 15.13725501485169, 20.721568800508976, 18.1411766782403, 7.505882488563657, 0, 0, 0, 2.372549071907997, 2.925490263849497, 0, 0]"
2.png,"[(0, 0), (5, 0), (10, 0), (15, 0), (20, 0), (25, 0), (0, 5), (5, 5), (10, 5), (15, 5), (20, 5), (25, 5), (0, 10), (5, 10), (10, 10), (15, 10), (20, 10), (25, 10), (0, 15), (5, 15), (10, 15), (15, 15), (20, 15), (25, 15), (0, 20), (5, 20), (10, 20), (15, 20), (20, 20), (25, 20), (0, 25), (5, 25), (10, 25), (15, 25), (20, 25), (25, 25)]","[0, 0, 0, 0, 0, 0, 0, 2.1725490391254425, 2.368627481162548, 0, 5.450980454683304, 9.701960884034634, 0, 14.949019693769515, 23.262745276559144, 3.1803921945393085, 19.04705897346139, 14.686274658888578, 0, 20.145098173059523, 22.43137273704633, 20.086274713743478, 23.627451189793646, 2.670588292181492, 0, 13.254902131855488, 3.9176471238024533, 10.968627528753132, 9.788235368207097, 0, 0, 2.6352941542863846, 0.15294118225574493, 0, 0, 0]"
3.png,"[(0, 0), (5, 0), (10, 0), (15, 0), (20, 0), (25, 0), (0, 5), (5, 5), (10, 5), (15, 5), (20, 5), (25, 5), (0, 10), (5, 10), (10, 10), (15, 10), (20, 10), (25, 10), (0, 15), (5, 15), (10, 15), (15, 15), (20, 15), (25, 15), (0, 20), (5, 20), (10, 20), (15, 20), (20, 20), (25, 20), (0, 25), (5, 25), (10, 25), (15, 25), (20, 25), (25, 25)]","[0, 0, 0, 0, 0, 0, 0, 0, 2.0862745363265276, 12.26666678674519, 13.384313866496086, 2.4784314185380936, 0, 3.9803921915590763, 20.09803937934339, 15.878431493416429, 26.752941384911537, 10.905882440507412, 0, 22.97254914045334, 20.678431507200003, 2.576470647007227, 17.439215945079923, 3.168627515435219, 0, 15.13725501485169, 20.721568800508976, 18.1411766782403, 7.505882488563657, 0, 0, 0, 2.372549071907997, 2.925490263849497, 0, 0]"
4.png,"[(0, 0), (5, 0), (10, 0), (15, 0), (20, 0), (25, 0), (0, 5), (5, 5), (10, 5), (15, 5), (20, 5), (25, 5), (0, 10), (5, 10), (10, 10), (15, 10), (20, 10), (25, 10), (0, 15), (5, 15), (10, 15), (15, 15), (20, 15), (25, 15), (0, 20), (5, 20), (10, 20), (15, 20), (20, 20), (25, 20), (0, 25), (5, 25), (10, 25), (15, 25), (20, 25), (25, 25)]","[0, 0, 0, 0, 0, 0, 0, 2.1725490391254425, 2.368627481162548, 0, 5.450980454683304, 9.701960884034634, 0, 14.949019693769515, 23.262745276559144, 3.1803921945393085, 19.04705897346139, 14.686274658888578, 0, 20.145098173059523, 22.43137273704633, 20.086274713743478, 23.627451189793646, 2.670588292181492, 0, 13.254902131855488, 3.9176471238024533, 10.968627528753132, 9.788235368207097, 0, 0, 2.6352941542863846, 0.15294118225574493, 0, 0, 0]"
5.png,"[(0, 0), (5, 0), (10, 0), (15, 0), (20, 0), (25, 0), (0, 5), (5, 5), (10, 5), (15, 5), (20, 5), (25, 5), (0, 10), (5, 10), (10, 10), (15, 10), (20, 10), (25, 10), (0, 15), (5, 15), (10, 15), (15, 15), (20, 15), (25, 15), (0, 20), (5, 20), (10, 20), (15, 20), (20, 20), (25, 20), (0, 25), (5, 25), (10, 25), (15, 25), (20, 25), (25, 25)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.6901961117982864, 0.5960784628987312, 0, 0, 0.533333346247673, 13.137254998087883, 23.521568786352873, 8.886274583637714, 0, 5.478431403636932, 19.890196215361357, 20.80000014603138, 7.470588311553001, 0, 0, 12.870588269084692, 12.396078497171402, 0.5529411770403385, 0, 0, 0, 0, 0, 0, 0, 0]"
6.png,"[(0, 0), (5, 0), (10, 0), (15, 0), (20, 0), (25, 0), (0, 5), (5, 5), (10, 5), (15, 5), (20, 5), (25, 5), (0, 10), (5, 10), (10, 10), (15, 10), (20, 10), (25, 10), (0, 15), (5, 15), (10, 15), (15, 15), (20, 15), (25, 15), (0, 20), (5, 20), (10, 20), (15, 20), (20, 20), (25, 20), (0, 25), (5, 25), (10, 25), (15, 25), (20, 25), (25, 25)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.698039319366217, 9.78823535144329, 6.552941203117371, 2.0039215981960297, 0, 0, 14.48235309869051, 23.36078441888094, 25.470588341355324, 26.419608019292355, 6.458823569118977, 0, 0, 0, 0.7294117957353592, 5.819607928395271, 2.2588235437870026, 0, 0, 0, 0, 0, 0]"
7.png,"[(0, 0), (5, 0), (10, 0), (15, 0), (20, 0), (25, 0), (0, 5), (5, 5), (10, 5), (15, 5), (20, 5), (25, 5), (0, 10), (5, 10), (10, 10), (15, 10), (20, 10), (25, 10), (0, 15), (5, 15), (10, 15), (15, 15), (20, 15), (25, 15), (0, 20), (5, 20), (10, 20), (15, 20), (20, 20), (25, 20), (0, 25), (5, 25), (10, 25), (15, 25), (20, 25), (25, 25)]","[0, 0, 0, 0, 0, 0, 0, 0, 2.0862745363265276, 12.26666678674519, 13.384313866496086, 2.4784314185380936, 0, 3.9803921915590763, 20.09803937934339, 15.878431493416429, 26.752941384911537, 10.905882440507412, 0, 22.97254914045334, 20.678431507200003, 2.576470647007227, 17.439215945079923, 3.168627515435219, 0, 15.13725501485169, 20.721568800508976, 18.1411766782403, 7.505882488563657, 0, 0, 0, 2.372549071907997, 2.925490263849497, 0, 0]"
8.png,"[(0, 0), (5, 0), (10, 0), (15, 0), (20, 0), (25, 0), (0, 5), (5, 5), (10, 5), (15, 5), (20, 5), (25, 5), (0, 10), (5, 10), (10, 10), (15, 10), (20, 10), (25, 10), (0, 15), (5, 15), (10, 15), (15, 15), (20, 15), (25, 15), (0, 20), (5, 20), (10, 20), (15, 20), (20, 20), (25, 20), (0, 25), (5, 25), (10, 25), (15, 25), (20, 25), (25, 25)]","[0, 0, 1.8980392664670944, 2.4588236212730408, 0, 0, 0, 3.1960784941911697, 12.003921762108803, 14.11372572183609, 0, 0, 0, 0, 0, 10.980392321944237, 0, 0, 0, 0, 2.7921569161117077, 16.709804160520434, 11.619607985019684, 4.694117695093155, 0, 5.980392270721495, 15.19607859943062, 16.611764887347817, 14.54901984333992, 6.494117766618729, 0, 0.4627451151609421, 0.1568627506494522, 0, 0, 0]"
9.png,"[(0, 0), (5, 0), (10, 0), (15, 0), (20, 0), (25, 0), (0, 5), (5, 5), (10, 5), (15, 5), (20, 5), (25, 5), (0, 10), (5, 10), (10, 10), (15, 10), (20, 10), (25, 10), (0, 15), (5, 15), (10, 15), (15, 15), (20, 15), (25, 15), (0, 20), (5, 20), (10, 20), (15, 20), (20, 20), (25, 20), (0, 25), (5, 25), (10, 25), (15, 25), (20, 25), (25, 25)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.4901960883289576, 6.6941177025437355, 3.870588332414627, 0.6352941393852234, 0, 0, 7.6313725877553225, 16.376470737159252, 16.678431563079357, 14.21176488418132, 5.509804002940655, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
