0,1,2
SN6_Train_AOI_11_Rotterdam_PS-RGBNIR_20190822152811_20190822153054_tile_1.tif,"[(68, 77), (29, 68), (94, 0), (1, 0), (10, 81), (83, 42), (72, 55), (58, 32), (48, 8), (70, 59), (81, 13), (48, 48), (26, 66), (84, 87), (65, 69), (10, 73), (76, 55), (16, 34), (61, 63), (45, 46), (84, 98), (3, 4), (69, 58), (64, 29), (84, 42), (31, 12), (9, 26), (87, 18), (96, 37), (12, 42), (33, 90), (80, 43), (28, 89), (6, 74), (24, 35), (19, 64), (75, 9), (29, 32), (45, 66), (33, 10), (88, 82), (16, 16), (64, 33), (5, 27), (36, 77), (60, 57), (34, 84), (2, 51), (69, 68), (87, 89), (55, 81), (47, 53), (68, 2), (48, 39), (38, 40), (4, 57), (45, 8), (85, 56), (93, 4), (70, 26), (64, 26), (80, 44), (50, 63), (43, 56), (4, 76), (29, 72), (65, 41), (46, 5), (11, 70), (58, 89), (23, 66), (33, 75), (35, 10), (23, 60), (87, 61), (34, 19), (90, 49), (26, 62), (93, 94), (59, 95), (76, 58), (35, 22), (70, 90), (94, 85), (4, 79), (4, 39), (12, 70), (86, 8), (73, 97), (49, 21), (89, 83), (16, 41), (44, 98), (27, 97), (57, 83), (96, 77), (57, 77), (28, 15), (51, 59), (31, 6)]","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 2, 1, 1, 1, 1, 1, 0, 0, 0, 2, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
SN6_Train_AOI_11_Rotterdam_PS-RGBNIR_20190822152811_20190822153054_tile_2.tif,"[(33, 84), (24, 95), (60, 15), (94, 17), (67, 32), (23, 52), (89, 71), (93, 24), (1, 26), (87, 25), (65, 17), (45, 8), (52, 41), (52, 38), (75, 96), (27, 70), (6, 80), (57, 11), (55, 28), (97, 25), (12, 47), (74, 73), (73, 83), (4, 48), (7, 38), (85, 26), (81, 65), (98, 63), (58, 72), (53, 4), (65, 43), (33, 92), (14, 32), (54, 7), (49, 48), (6, 8), (7, 55), (27, 11), (94, 24), (59, 7), (62, 71), (10, 20), (23, 78), (68, 37), (40, 57), (41, 9), (57, 93), (86, 18), (13, 50), (15, 35), (42, 24), (80, 20), (96, 94), (49, 7), (34, 61), (22, 73), (60, 67), (77, 68), (96, 3), (37, 79), (23, 56), (50, 48), (5, 8), (98, 1), (44, 75), (57, 67), (41, 78), (10, 54), (27, 67), (73, 51), (63, 68), (96, 62), (78, 30), (26, 15), (96, 27), (63, 37), (24, 37), (16, 21), (83, 38), (57, 84), (43, 35), (18, 49), (22, 21), (46, 63), (36, 93), (37, 68), (52, 96), (68, 64), (57, 60), (63, 94), (74, 19), (85, 28), (21, 2), (92, 76), (39, 11), (44, 94), (71, 43), (4, 34), (22, 14), (82, 25)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SN6_Train_AOI_11_Rotterdam_PS-RGBNIR_20190822152811_20190822153054_tile_3.tif,"[(74, 21), (66, 30), (1, 50), (26, 93), (94, 76), (91, 61), (89, 67), (45, 59), (37, 52), (51, 97), (6, 49), (88, 15), (74, 98), (23, 31), (41, 57), (55, 48), (7, 87), (56, 68), (27, 36), (46, 67), (21, 82), (38, 7), (37, 7), (4, 97), (43, 76), (67, 36), (98, 80), (96, 57), (79, 28), (25, 48), (77, 72), (86, 67), (47, 69), (66, 66), (65, 48), (59, 50), (69, 5), (51, 65), (68, 64), (23, 74), (88, 2), (15, 32), (0, 64), (91, 86), (21, 92), (4, 78), (96, 27), (26, 77), (72, 70), (34, 2), (89, 83), (82, 0), (31, 12), (38, 3), (76, 5), (67, 22), (86, 29), (47, 57), (70, 33), (52, 26), (53, 80), (7, 30), (60, 35), (49, 4), (81, 12), (86, 48), (55, 34), (44, 88), (50, 16), (91, 14), (82, 35), (68, 93), (49, 3), (5, 17), (37, 78), (90, 21), (72, 91), (71, 81), (96, 84), (30, 69), (51, 61), (9, 78), (15, 14), (17, 17), (80, 27), (27, 51), (38, 87), (63, 55), (87, 82), (44, 72), (6, 32), (75, 88), (91, 94), (6, 4), (21, 72), (55, 84), (87, 1), (47, 1), (67, 70), (20, 91)]","[2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 2, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 3, 0, 1, 1, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
SN6_Train_AOI_11_Rotterdam_PS-RGBNIR_20190822152811_20190822153054_tile_4.tif,"[(45, 20), (22, 96), (95, 96), (1, 75), (71, 66), (19, 31), (27, 33), (98, 58), (3, 32), (46, 28), (27, 74), (63, 80), (60, 2), (29, 81), (61, 75), (17, 44), (43, 79), (71, 87), (5, 61), (80, 57), (45, 95), (29, 34), (44, 54), (96, 51), (30, 73), (67, 69), (35, 8), (72, 5), (68, 79), (34, 65), (19, 32), (83, 25), (69, 52), (92, 1), (50, 47), (76, 87), (98, 48), (2, 19), (56, 66), (21, 82), (69, 64), (8, 37), (44, 18), (30, 51), (11, 38), (54, 10), (2, 63), (81, 53), (63, 61), (25, 62), (3, 28), (26, 66), (79, 20), (76, 49), (53, 58), (0, 66), (8, 91), (54, 75), (27, 69), (1, 43), (94, 85), (55, 50), (86, 91), (44, 85), (6, 79), (33, 86), (58, 64), (15, 40), (18, 96), (0, 17), (6, 52), (52, 93), (92, 53), (33, 28), (39, 12), (88, 27), (40, 4), (70, 23), (62, 95), (26, 84), (70, 33), (31, 30), (5, 16), (21, 27), (37, 54), (38, 29), (28, 33), (90, 90), (30, 20), (58, 50), (74, 17), (51, 29), (96, 79), (1, 9), (92, 74), (60, 92), (78, 52), (54, 88), (31, 97), (81, 40)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SN6_Train_AOI_11_Rotterdam_PS-RGBNIR_20190822152811_20190822153054_tile_5.tif,"[(25, 34), (91, 71), (69, 22), (1, 84), (21, 89), (47, 97), (15, 41), (47, 73), (51, 1), (95, 63), (68, 8), (28, 42), (72, 61), (30, 68), (6, 12), (14, 29), (29, 10), (24, 62), (16, 9), (51, 93), (84, 34), (45, 97), (40, 27), (56, 82), (22, 3), (60, 14), (90, 39), (43, 43), (90, 17), (71, 59), (85, 39), (83, 47), (32, 61), (88, 29), (32, 97), (34, 43), (32, 12), (45, 24), (74, 82), (96, 54), (18, 47), (53, 0), (84, 86), (32, 49), (41, 88), (7, 83), (23, 80), (75, 11), (50, 74), (66, 16), (90, 89), (93, 71), (15, 67), (77, 96), (48, 45), (43, 80), (35, 81), (71, 0), (33, 15), (83, 10), (0, 66), (68, 15), (38, 17), (16, 81), (85, 33), (32, 46), (56, 6), (87, 16), (44, 54), (15, 23), (15, 69), (12, 84), (67, 21), (33, 7), (72, 70), (21, 58), (35, 79), (45, 6), (96, 9), (49, 20), (79, 27), (85, 77), (96, 43), (72, 27), (33, 57), (40, 31), (56, 15), (10, 57), (30, 38), (54, 23), (41, 11), (13, 82), (80, 60), (13, 78), (76, 89), (23, 63), (9, 16), (0, 87), (56, 27), (63, 17)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SN6_Train_AOI_11_Rotterdam_PS-RGBNIR_20190822152811_20190822153054_tile_6.tif,"[(56, 86), (94, 35), (19, 68), (70, 33), (52, 97), (93, 30), (51, 96), (5, 50), (79, 62), (93, 20), (83, 53), (32, 88), (4, 41), (85, 26), (79, 33), (67, 82), (2, 54), (51, 71), (33, 53), (19, 41), (68, 79), (28, 73), (17, 54), (10, 74), (90, 42), (30, 18), (47, 54), (60, 29), (63, 63), (94, 56), (37, 86), (62, 78), (52, 75), (76, 38), (84, 69), (45, 69), (93, 6), (80, 95), (76, 57), (42, 94), (46, 42), (10, 28), (87, 82), (41, 87), (69, 16), (0, 41), (72, 12), (80, 40), (33, 20), (84, 57), (88, 29), (50, 84), (80, 45), (88, 2), (21, 22), (50, 11), (73, 45), (90, 89), (9, 28), (63, 21), (79, 41), (90, 10), (39, 33), (10, 57), (45, 51), (57, 80), (56, 82), (53, 55), (50, 75), (6, 4), (32, 98), (63, 12), (39, 25), (36, 75), (37, 55), (79, 51), (10, 35), (58, 11), (10, 19), (70, 41), (29, 22), (11, 63), (90, 68), (27, 63), (27, 60), (0, 62), (21, 12), (40, 23), (84, 36), (67, 3), (75, 46), (93, 17), (2, 72), (50, 72), (78, 29), (22, 53), (61, 80), (63, 47), (42, 7), (34, 24)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
SN6_Train_AOI_11_Rotterdam_PS-RGBNIR_20190822152811_20190822153054_tile_7.tif,"[(73, 27), (5, 86), (3, 96), (22, 23), (16, 48), (68, 43), (52, 32), (16, 87), (12, 37), (9, 10), (97, 49), (23, 29), (62, 34), (54, 92), (2, 43), (19, 71), (24, 53), (92, 47), (40, 70), (41, 62), (65, 62), (96, 32), (34, 23), (96, 33), (38, 33), (75, 49), (4, 7), (89, 20), (29, 49), (36, 71), (9, 84), (53, 27), (10, 34), (75, 91), (81, 70), (42, 0), (58, 40), (5, 36), (39, 47), (66, 15), (9, 62), (5, 96), (18, 93), (29, 51), (67, 39), (71, 91), (67, 24), (54, 36), (57, 35), (71, 9), (9, 23), (63, 80), (52, 1), (88, 2), (81, 91), (51, 81), (84, 19), (53, 26), (5, 75), (69, 9), (66, 6), (31, 38), (95, 21), (8, 33), (24, 35), (81, 56), (43, 17), (31, 2), (64, 33), (35, 95), (92, 60), (59, 12), (58, 92), (35, 16), (52, 2), (72, 68), (54, 70), (35, 9), (14, 86), (30, 75), (43, 25), (96, 84), (64, 80), (43, 8), (12, 49), (10, 51), (34, 61), (69, 72), (58, 72), (0, 4), (27, 21), (8, 93), (3, 7), (36, 38), (71, 50), (83, 39), (19, 18), (59, 73), (32, 73), (97, 73)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SN6_Train_AOI_11_Rotterdam_PS-RGBNIR_20190804120223_20190804120456_tile_58.tif,"[(48, 44), (54, 30), (7, 9), (41, 44), (77, 46), (46, 17), (79, 18), (56, 78), (8, 49), (49, 58), (80, 64), (70, 11), (95, 41), (78, 19), (63, 22), (49, 86), (46, 63), (76, 91), (65, 19), (15, 15), (34, 20), (78, 89), (45, 48), (95, 94), (56, 34), (97, 35), (35, 84), (83, 8), (3, 45), (50, 50), (32, 55), (5, 47), (36, 89), (28, 49), (22, 85), (21, 53), (5, 24), (66, 50), (6, 29), (27, 55), (8, 43), (58, 83), (83, 52), (52, 13), (20, 63), (15, 62), (52, 19), (67, 3), (64, 54), (77, 45), (32, 14), (72, 64), (27, 86), (16, 47), (55, 22), (91, 87), (21, 25), (65, 92), (33, 78), (69, 46), (39, 1), (97, 53), (60, 10), (18, 35), (52, 8), (54, 84), (25, 72), (67, 16), (41, 15), (31, 35), (82, 58), (50, 1), (31, 73), (32, 63), (68, 92), (94, 91), (31, 17), (9, 8), (31, 57), (66, 69), (73, 11), (18, 86), (93, 72), (14, 42), (54, 81), (22, 62), (51, 12), (90, 15), (87, 30), (19, 20), (42, 40), (0, 62), (69, 82), (71, 61), (62, 17), (0, 30), (53, 58), (92, 45), (55, 2), (83, 4)]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
SN6_Train_AOI_11_Rotterdam_PS-RGBNIR_20190804120223_20190804120456_tile_60.tif,"[(25, 46), (0, 51), (14, 10), (32, 67), (56, 58), (36, 46), (51, 84), (87, 83), (10, 97), (1, 47), (10, 37), (71, 53), (5, 45), (3, 25), (24, 63), (59, 70), (82, 66), (10, 64), (36, 89), (3, 62), (57, 89), (25, 43), (81, 4), (29, 10), (81, 15), (69, 40), (49, 60), (72, 78), (33, 98), (59, 30), (96, 19), (5, 84), (41, 8), (8, 10), (58, 3), (98, 52), (33, 65), (73, 93), (85, 85), (7, 44), (13, 95), (11, 37), (17, 90), (32, 98), (1, 46), (40, 74), (49, 95), (36, 9), (42, 57), (88, 70), (77, 33), (27, 71), (68, 33), (15, 46), (84, 0), (52, 89), (11, 30), (10, 84), (51, 23), (13, 96), (58, 30), (17, 9), (46, 36), (93, 13), (27, 10), (40, 12), (5, 95), (31, 65), (96, 88), (58, 70), (92, 94), (52, 62), (24, 1), (96, 72), (3, 78), (37, 50), (34, 16), (70, 11), (1, 74), (23, 49), (22, 16), (30, 8), (94, 34), (82, 27), (83, 64), (92, 29), (55, 39), (6, 66), (47, 97), (31, 66), (7, 13), (23, 5), (66, 17), (93, 29), (80, 52), (33, 73), (82, 22), (41, 16), (75, 64), (52, 37)]","[0, 1, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
SN6_Train_AOI_11_Rotterdam_PS-RGBNIR_20190804120223_20190804120456_tile_62.tif,"[(60, 58), (92, 63), (50, 34), (45, 87), (65, 55), (63, 65), (22, 54), (56, 70), (63, 15), (62, 45), (5, 82), (13, 66), (90, 97), (49, 72), (76, 17), (94, 54), (93, 19), (40, 53), (85, 82), (25, 68), (88, 80), (94, 45), (33, 76), (80, 78), (71, 67), (37, 86), (79, 6), (89, 54), (29, 35), (75, 50), (77, 42), (12, 90), (39, 53), (42, 37), (90, 98), (8, 55), (88, 22), (10, 70), (72, 56), (49, 70), (67, 87), (3, 40), (61, 17), (13, 77), (70, 2), (75, 46), (48, 12), (26, 10), (18, 90), (62, 76), (69, 87), (50, 24), (52, 53), (14, 59), (27, 18), (74, 94), (93, 55), (58, 30), (85, 60), (79, 5), (58, 29), (0, 53), (3, 81), (68, 20), (72, 58), (25, 8), (83, 63), (2, 53), (52, 0), (38, 10), (93, 42), (96, 92), (25, 50), (41, 28), (0, 57), (67, 46), (66, 49), (7, 98), (61, 19), (84, 69), (14, 94), (47, 11), (36, 88), (8, 98), (11, 5), (84, 44), (87, 53), (54, 10), (71, 9), (11, 63), (47, 56), (63, 93), (73, 34), (7, 4), (67, 79), (2, 39), (11, 20), (5, 29), (10, 28), (7, 35)]","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
