image,pins,outputs
SN6_Train_AOI_11_Rotterdam_PS-RGBNIR_20190822152811_20190822153054_tile_1.tif,"[(98, 77), (44, 93), (79, 69), (56, 82), (18, 64), (78, 10), (44, 77), (76, 99), (23, 4), (13, 77)]","[0, 1, 1, 0, 0, 1, 0, 1, 0, 0]"
SN6_Train_AOI_11_Rotterdam_PS-RGBNIR_20190822152811_20190822153054_tile_2.tif,"[(62, 19), (17, 38), (20, 97), (56, 5), (25, 85), (19, 7), (39, 9), (42, 22), (40, 99), (64, 62)]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
SN6_Train_AOI_11_Rotterdam_PS-RGBNIR_20190822152811_20190822153054_tile_3.tif,"[(80, 33), (67, 81), (1, 67), (47, 98), (89, 51), (4, 19), (0, 76), (56, 47), (98, 7), (8, 15)]","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
SN6_Train_AOI_11_Rotterdam_PS-RGBNIR_20190822152811_20190822153054_tile_4.tif,"[(73, 31), (87, 26), (30, 25), (64, 39), (92, 34), (88, 13), (62, 28), (37, 38), (89, 7), (13, 80)]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
SN6_Train_AOI_11_Rotterdam_PS-RGBNIR_20190822152811_20190822153054_tile_5.tif,"[(34, 0), (18, 25), (21, 57), (35, 96), (0, 41), (52, 85), (36, 28), (27, 73), (11, 63), (49, 68)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SN6_Train_AOI_11_Rotterdam_PS-RGBNIR_20190822152811_20190822153054_tile_6.tif,"[(2, 99), (14, 10), (44, 11), (13, 36), (28, 70), (97, 92), (43, 38), (72, 48), (50, 58), (72, 96)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SN6_Train_AOI_11_Rotterdam_PS-RGBNIR_20190822152811_20190822153054_tile_7.tif,"[(29, 24), (41, 47), (2, 30), (34, 63), (32, 53), (86, 0), (75, 82), (34, 82), (97, 57), (80, 95)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SN6_Train_AOI_11_Rotterdam_PS-RGBNIR_20190804120223_20190804120456_tile_58.tif,"[(35, 44), (15, 3), (47, 69), (19, 23), (81, 75), (93, 39), (71, 86), (59, 26), (12, 16), (20, 15)]","[0, 1, 0, 1, 0, 0, 0, 0, 1, 1]"
SN6_Train_AOI_11_Rotterdam_PS-RGBNIR_20190804120223_20190804120456_tile_60.tif,"[(11, 29), (2, 80), (4, 5), (6, 96), (11, 44), (22, 11), (42, 55), (96, 44), (71, 90), (14, 18)]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
SN6_Train_AOI_11_Rotterdam_PS-RGBNIR_20190804120223_20190804120456_tile_62.tif,"[(0, 6), (93, 55), (23, 0), (52, 0), (1, 97), (68, 34), (42, 75), (54, 69), (6, 84), (23, 32)]","[0, 0, 0, 0, 1, 0, 2, 1, 1, 0]"
SN6_Train_AOI_11_Rotterdam_PS-RGBNIR_20190804120223_20190804120456_tile_63.tif,"[(52, 71), (98, 98), (29, 13), (70, 24), (9, 86), (78, 12), (20, 9), (18, 28), (49, 37), (52, 91)]","[1, 2, 1, 0, 0, 0, 0, 0, 1, 2]"
SN6_Train_AOI_11_Rotterdam_PS-RGBNIR_20190804120223_20190804120456_tile_64.tif,"[(82, 75), (92, 4), (81, 4), (28, 10), (99, 42), (28, 61), (73, 39), (48, 23), (95, 22), (10, 7)]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SN6_Train_AOI_11_Rotterdam_PS-RGBNIR_20190804120223_20190804120456_tile_65.tif,"[(1, 86), (61, 87), (91, 78), (22, 57), (20, 10), (41, 18), (49, 63), (78, 41), (81, 18), (79, 64)]","[0, 0, 0, 1, 1, 0, 1, 1, 0, 0]"
SN6_Train_AOI_11_Rotterdam_PS-RGBNIR_20190804120223_20190804120456_tile_67.tif,"[(71, 57), (18, 100), (24, 40), (41, 0), (28, 6), (80, 14), (16, 6), (4, 19), (66, 77), (45, 75)]","[0, 0, 1, 0, 0, 0, 0, 0, 3, 3]"
SN6_Train_AOI_11_Rotterdam_PS-RGBNIR_20190822091156_20190822091502_tile_106.tif,"[(44, 98), (81, 31), (52, 71), (26, 44), (96, 31), (79, 43), (65, 40), (41, 20), (9, 26), (16, 98)]","[1, 0, 3, 0, 0, 0, 1, 0, 0, 1]"
