image,pins,outputs
0.npy,"[(96, 32), (0, 64), (32, 32), (32, 64), (0, 96), (64, 0), (96, 64), (32, 0), (64, 96), (96, 96), (96, 0), (64, 32), (0, 0), (32, 96), (0, 32), (64, 64)]","[0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]"
1.npy,"[(96, 32), (0, 64), (32, 32), (32, 64), (0, 96), (64, 0), (96, 64), (32, 0), (64, 96), (96, 96), (96, 0), (64, 32), (0, 0), (32, 96), (0, 32), (64, 64)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
2.npy,"[(96, 32), (0, 64), (32, 32), (32, 64), (0, 96), (64, 0), (96, 64), (32, 0), (64, 96), (96, 96), (96, 0), (64, 32), (0, 0), (32, 96), (0, 32), (64, 64)]","[2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
3.npy,"[(96, 32), (0, 64), (32, 32), (32, 64), (0, 96), (64, 0), (96, 64), (32, 0), (64, 96), (96, 96), (96, 0), (64, 32), (0, 0), (32, 96), (0, 32), (64, 64)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4.npy,"[(96, 32), (0, 64), (32, 32), (32, 64), (0, 96), (64, 0), (96, 64), (32, 0), (64, 96), (96, 96), (96, 0), (64, 32), (0, 0), (32, 96), (0, 32), (64, 64)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5.npy,"[(96, 32), (0, 64), (32, 32), (32, 64), (0, 96), (64, 0), (96, 64), (32, 0), (64, 96), (96, 96), (96, 0), (64, 32), (0, 0), (32, 96), (0, 32), (64, 64)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6.npy,"[(96, 32), (0, 64), (32, 32), (32, 64), (0, 96), (64, 0), (96, 64), (32, 0), (64, 96), (96, 96), (96, 0), (64, 32), (0, 0), (32, 96), (0, 32), (64, 64)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7.npy,"[(96, 32), (0, 64), (32, 32), (32, 64), (0, 96), (64, 0), (96, 64), (32, 0), (64, 96), (96, 96), (96, 0), (64, 32), (0, 0), (32, 96), (0, 32), (64, 64)]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
8.npy,"[(96, 32), (0, 64), (32, 32), (32, 64), (0, 96), (64, 0), (96, 64), (32, 0), (64, 96), (96, 96), (96, 0), (64, 32), (0, 0), (32, 96), (0, 32), (64, 64)]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9.npy,"[(96, 32), (0, 64), (32, 32), (32, 64), (0, 96), (64, 0), (96, 64), (32, 0), (64, 96), (96, 96), (96, 0), (64, 32), (0, 0), (32, 96), (0, 32), (64, 64)]","[0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
10.npy,"[(96, 32), (0, 64), (32, 32), (32, 64), (0, 96), (64, 0), (96, 64), (32, 0), (64, 96), (96, 96), (96, 0), (64, 32), (0, 0), (32, 96), (0, 32), (64, 64)]","[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
11.npy,"[(96, 32), (0, 64), (32, 32), (32, 64), (0, 96), (64, 0), (96, 64), (32, 0), (64, 96), (96, 96), (96, 0), (64, 32), (0, 0), (32, 96), (0, 32), (64, 64)]","[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
12.npy,"[(96, 32), (0, 64), (32, 32), (32, 64), (0, 96), (64, 0), (96, 64), (32, 0), (64, 96), (96, 96), (96, 0), (64, 32), (0, 0), (32, 96), (0, 32), (64, 64)]","[1, 0, 0, 1, 0, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
13.npy,"[(96, 32), (0, 64), (32, 32), (32, 64), (0, 96), (64, 0), (96, 64), (32, 0), (64, 96), (96, 96), (96, 0), (64, 32), (0, 0), (32, 96), (0, 32), (64, 64)]","[0, 0, 1, 6, 0, 0, 0, 0, 4, 0, 1, 0, 0, 6, 0, 1]"
14.npy,"[(96, 32), (0, 64), (32, 32), (32, 64), (0, 96), (64, 0), (96, 64), (32, 0), (64, 96), (96, 96), (96, 0), (64, 32), (0, 0), (32, 96), (0, 32), (64, 64)]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
15.npy,"[(96, 32), (0, 64), (32, 32), (32, 64), (0, 96), (64, 0), (96, 64), (32, 0), (64, 96), (96, 96), (96, 0), (64, 32), (0, 0), (32, 96), (0, 32), (64, 64)]","[2, 0, 2, 1, 0, 4, 2, 0, 4, 5, 0, 2, 0, 12, 0, 6]"
16.npy,"[(96, 32), (0, 64), (32, 32), (32, 64), (0, 96), (64, 0), (96, 64), (32, 0), (64, 96), (96, 96), (96, 0), (64, 32), (0, 0), (32, 96), (0, 32), (64, 64)]","[0, 1, 2, 1, 4, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 2]"
17.npy,"[(96, 32), (0, 64), (32, 32), (32, 64), (0, 96), (64, 0), (96, 64), (32, 0), (64, 96), (96, 96), (96, 0), (64, 32), (0, 0), (32, 96), (0, 32), (64, 64)]","[1, 0, 1, 1, 0, 4, 0, 2, 0, 2, 2, 3, 0, 3, 0, 2]"
18.npy,"[(96, 32), (0, 64), (32, 32), (32, 64), (0, 96), (64, 0), (96, 64), (32, 0), (64, 96), (96, 96), (96, 0), (64, 32), (0, 0), (32, 96), (0, 32), (64, 64)]","[0, 0, 6, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 0]"
19.npy,"[(96, 32), (0, 64), (32, 32), (32, 64), (0, 96), (64, 0), (96, 64), (32, 0), (64, 96), (96, 96), (96, 0), (64, 32), (0, 0), (32, 96), (0, 32), (64, 64)]","[0, 1, 2, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
20.npy,"[(96, 32), (0, 64), (32, 32), (32, 64), (0, 96), (64, 0), (96, 64), (32, 0), (64, 96), (96, 96), (96, 0), (64, 32), (0, 0), (32, 96), (0, 32), (64, 64)]","[2, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1]"
